rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",1,1,11,"61385396"
2,"spotify:track:5Z9KJZvQzH6PFmb8SNkxuk","Lil Nas X, Jack Harlow","INDUSTRY BABY (feat. Jack Harlow)","Columbia",2,2,9,"53085371"
3,"spotify:track:0e8nrvls4Qqv5Rfa2UhqmO","Lil Nas X","THATS WHAT I WANT","Columbia",3,-1,1,"32546474"
4,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",4,5,39,"31103477"
5,"spotify:track:6PQ88X9TkUIAUIZJHW2upE","Ed Sheeran","Bad Habits","Atlantic Records UK",3,3,13,"30276896"
6,"spotify:track:5fwSHlTEWpluwOM0Sxnh5k","Farruko","Pepas","Sony Music Latin",4,4,11,"30119703"
7,"spotify:track:6Uj1ctrBOjOas8xZXGqKk4","Doja Cat","Woman","Kemosabe Records/RCA Records",6,6,11,"29648304"
8,"spotify:track:1SC5rEoYDGUK4NfG82494W","Lil Nas X","MONTERO (Call Me By Your Name)","Columbia",1,14,26,"28933084"
9,"spotify:track:75MNhvTCCKsST3YqqUiU9r","Ed Sheeran","Shivers","Atlantic Records UK",9,11,2,"27138539"
10,"spotify:track:3Wrjm47oTz2sjIgck11l5e","Måneskin","Beggin'","RCA Records Label",1,7,16,"26309445"
11,"spotify:track:4ZtFanR9U6ndgddUvNcjcG","Olivia Rodrigo","good 4 u","Olivia Rodrigo PS",1,8,19,"24943366"
12,"spotify:track:0k1WUmIRnG3xU6fvvDVfRG","Drake, Future, Young Thug","Way 2 Sexy (with Future & Young Thug)","OVO",5,10,3,"23088866"
13,"spotify:track:3Vi5XqYrmQgOYBajMWSvCi","Doja Cat","Need to Know","Kemosabe Records/RCA Records",6,13,15,"22506534"
14,"spotify:track:40iJIUlhi6renaREYGeIDS","Drake, Travis Scott","Fair Trade (with Travis Scott)","OVO",3,9,3,"20658947"
15,"spotify:track:3DarAbFujv6eYNliUTyqtz","Doja Cat, SZA","Kiss Me More (feat. SZA)","Kemosabe Records/RCA Records",3,15,24,"19826752"
16,"spotify:track:4RVwu0g32PAqgUiJoXsdF8","Billie Eilish","Happier Than Ever","Darkroom/Interscope Records",6,16,8,"19263184"
17,"spotify:track:0eu4C55hL6x29mmeAjytzC","Oliver Tree","Life Goes On","Atlantic Records",17,32,3,"18234742"
18,"spotify:track:6zSpb8dQRaw0M1dK8PBwQz","Elton John, Dua Lipa, PNAU","Cold Heart - PNAU Remix","EMI",18,27,6,"17171664"
